,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
0,카페몽글 신도림,"카페, 스터디카페",구로구,서울특별시 구로구 구로동 30-23,"조용한, 반려동물동반",126.890865117894,37.5048324657209,카페
1,히어로스터 신도림점,"초코타르트, 카페",구로구,서울특별시 구로구 신도림동 382-2,"조용한, 야외테라스, 반려동물동반",126.884643985608,37.5084429166587,카페
2,나이스카페인클럽 구디,"카페, 커피",구로구,서울특별시 구로구 구로동 811,"저렴, 반려동물동반",126.899259271333,37.4842969723245,카페
3,식껍 디지털단지역점,"고깃집, 삼겹살",구로구,서울특별시 구로구 구로동 811,"점심특선, 점심식사, 저녁식사, 셀프바, 반려동물동반, 주차",126.899259271333,37.4842969723245,음식점
4,더치앤빈 구로디지털단지,"카페, 더치커피",구로구,서울특별시 구로구 구로동 170-11,"편안한, 반려동물동반, 주차, 배달",126.894775511849,37.4871315093842,카페
5,아씨펍 크래프트 신도림,맥주,구로구,서울특별시 구로구 구로동 26,"편안한분위기, 셀프바, 반려동물동반, 주차",126.891648310229,37.5056956285862,음식점
6,랑데자뷰 NC구로점,"크로플, 카페",구로구,서울특별시 구로구 구로동 573,"한옥집, 놀이방, 주차",126.882839257848,37.5011765181321,카페
7,폴리 개봉,"크로플, 카페",구로구,서울특별시 구로구 개봉동 278-25,"숲속, 테이크아웃, 반려동물동반, 반려동물동반",126.857370748494,37.4882756575998,카페
8,품격사시미 구디,"횟집, 사시미",구로구,서울특별시 구로구 구로동 1124-83 품격사시미,"가성비좋은, 저녁식사, 야외테라스, 반려동물동반",126.900494193303,37.4842847740095,음식점
9,다과정 구로역,"카페, 풀빵",구로구,서울특별시 구로구 구로동 612-13,"아늑한카페, 테이크아웃, 바테이블, 배달",126.877763044789,37.5050584908232,카페
10,멜로우 밀 구로구,"카페, 디저트",구로구,서울특별시 구로구 항동 22-5,"쾌적한, 테이크아웃, 야외테라스, 반려동물동반, 주차, 배달",126.821173186329,37.4828641593073,카페
11,배스킨라빈스 신도림,"아이스크림, 아이스바",구로구,서울특별시 구로구 신도림동 337,"크리스마스, 반려동물동반, 주차, 배달",126.887743559932,37.5094208797108,카페
12,면부심 파스타 구로금천점,"파스타, 크림파스타",구로구,서울특별시 구로구 가리봉동 136-78,"푸짐한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",126.893049773982,37.4790835051944,음식점
13,칠공주떡볶이 구로시장,"떡볶이, 밀키트",구로구,서울특별시 구로구 구로동 733-28,"원조, 반려동물동반, 주차, 배달",126.88480382587,37.4894324807168,음식점
